model_id,mask_list,alpha,prune_thr,coef_count,rmse_train,rmse_cv,rmse_holdout,mae_holdout,calib_a,calib_b
0,if_mod12_eq_10 | if_mod30_eq_2 | if_mod3_eq_2 | if_mod5_eq_2 | if_v2_ge_5,100.0,0.05,10,43.67404239721551,43.72413718062745,46.097939713896714,40.16656896239401,-0.29142072832146093,1.0034082432173057
1,if_mod12_eq_10 | if_mod30_eq_2 | if_mod5_eq_2 | if_v2_ge_2 | if_v2_ge_6,100.0,0.05,13,43.6712831844396,43.710736621236926,46.090178521622704,40.17205101205744,3.703354046951507e-14,0.9999999999999999
2,if_mod12_eq_10 | if_mod3_eq_2 | if_mod5_eq_2 | if_v2_ge_3 | if_v2_ge_4,100.0,0.05,12,43.67649255850352,43.727395533755114,46.08548880056553,40.15689361907249,3.518478984827314e-13,0.9999999999999941
3,if_mod30_eq_2 | if_mod5_eq_2 | if_v2_ge_3 | if_v2_ge_4 | if_v2_ge_8,100.0,0.02,14,43.67220096624067,43.728813693209034,46.09748432033892,40.1733281733657,-6.749102157334889e-14,1.0000000000000004
4,if_mod3_eq_2 | if_mod5_eq_2 | if_v2_ge_3 | if_v2_ge_6,100.0,0.05,7,43.675387652529864,43.71369661804267,46.081622185136766,40.152457789665114,-0.19634426480700673,1.0022962589600435
5,if_mod12_eq_10 | if_mod30_eq_2 | if_mod5_eq_2 | if_v2_ge_5 | if_v2_ge_7,100.0,0.05,12,43.67250959912763,43.71280997559186,46.094178397091596,40.176438044279244,-0.1518684335892516,1.001776020248529
6,if_mod3_eq_2 | if_mod5_eq_2 | if_v2_ge_3 | if_v2_ge_6 | if_v2_ge_7,100.0,0.05,8,43.67532603269354,43.714624249840284,46.0808311577365,40.154169689431995,-0.17654248493907532,1.002064659732455
7,if_mod30_eq_2 | if_mod5_eq_2 | if_v2_ge_3 | if_v2_ge_7,100.0,0.05,9,43.67488177856199,43.72000655002796,46.08444061858863,40.153980550767976,-0.34921782933422646,1.0040843213660826
8,if_mod12_eq_10 | if_mod30_eq_2 | if_mod5_eq_2 | if_v2_ge_6,100.0,0.05,9,43.672414003941874,43.70338687096266,46.09162809533247,40.16282070958162,-0.3147199691386728,1.003680690926057
9,if_mod12_eq_10 | if_mod3_eq_2 | if_v2_ge_3 | if_v2_ge_5 | if_v2_ge_7,100.0,0.05,11,43.6760482374769,43.71291997656675,46.083295911125035,40.14839661886897,-0.5158151125298065,1.0060332210316765
10,if_mod12_eq_10 | if_mod30_eq_2 | if_mod5_eq_2 | if_v2_ge_4,100.0,0.05,10,43.675334298436916,43.717283428678684,46.09320021892813,40.1670696774074,-0.10587393240451974,1.0012381617618615
11,if_mod12_eq_10 | if_mod30_eq_2 | if_mod3_eq_2 | if_v2_ge_6 | if_v2_ge_7,100.0,0.05,10,43.67522357783691,43.71173799764237,46.08402459076084,40.15405153115777,-0.29015165776392177,1.0033934487559333
12,if_mod12_eq_10 | if_mod3_eq_2 | if_v2_ge_2 | if_v2_ge_4 | if_v2_ge_7,100.0,0.05,12,43.675516463516594,43.72333745078738,46.07761729452267,40.15405684010408,4.3757940407011433e-14,1.0000000000000009
13,if_mod12_eq_10 | if_mod3_eq_2 | if_v2_ge_3 | if_v2_ge_5,100.0,0.05,9,43.676693990245205,43.713895894714256,46.089333640418964,40.15042058688453,-0.4850912479913328,1.0056738436740704
14,if_mod12_eq_10 | if_mod3_eq_2 | if_mod5_eq_2 | if_v2_ge_3,100.0,0.05,9,43.678653229686226,43.71671096112721,46.078574679509224,40.13418138303506,2.873292740527694e-13,1.0000000000000024
15,if_mod12_eq_10 | if_mod5_eq_2 | if_v2_ge_2 | if_v2_ge_4 | if_v2_ge_5,100.0,0.05,11,43.6757140010983,43.717160855191956,46.09022103478626,40.15876202754851,-6.495457341246157e-14,1.000000000000002
16,if_mod30_eq_2 | if_mod5_eq_2 | if_v2_ge_6,100.0,0.05,7,43.673648802264964,43.70312285744295,46.08858102335858,40.16367743597813,-0.16086560011684695,1.0018812696866612
17,if_mod30_eq_2 | if_mod5_eq_2 | if_v2_ge_5,100.0,0.02,9,43.67259187566333,43.714528287775536,46.10599418422385,40.179409147557884,-0.0812278676191381,1.0009498935032266
18,if_mod30_eq_2 | if_mod3_eq_2 | if_v2_ge_2 | if_v2_ge_3 | if_v2_ge_7,100.0,0.05,12,43.6768806015547,43.72537233619319,46.08086323851514,40.14934850138691,2.0841615044015458e-13,1.0000000000000004
19,if_mod5_eq_2 | if_v2_ge_3 | if_v2_ge_5 | if_v2_ge_6 | if_v2_ge_7,100.0,0.05,9,43.67525879800473,43.71049488294437,46.08381476717498,40.15791585007712,-0.13274023139370145,1.0015523679905596
