x,tail_Sn,tail_Y
1.0,0.69405,0.48855
1.0985411419875584,0.66685,0.44845
1.2067926406393286,0.6368,0.4109
1.3257113655901092,0.6079,0.372
1.4563484775012439,0.5749,0.333
1.5998587196060579,0.53705,0.29505
1.7575106248547918,0.5012,0.2584
1.9306977288832503,0.4619,0.22565
2.1209508879201904,0.42455,0.1959
2.3299518105153716,0.38305,0.16745
2.5595479226995352,0.34365,0.1419
2.81176869797423,0.30715,0.1207
3.0888435964774805,0.2672,0.1026
3.3932217718953277,0.23195,0.0867
3.72759372031494,0.20125,0.0721
4.094915062380425,0.1736,0.06175
4.498432668969445,0.14705,0.05145
4.941713361323834,0.12455,0.04415
5.428675439323859,0.1044,0.03835
5.963623316594643,0.08725,0.0324
6.551285568595508,0.0738,0.02745
7.196856730011519,0.0623,0.02355
7.906043210907698,0.0537,0.01995
8.685113737513523,0.0461,0.01755
9.540954763499938,0.0402,0.0148
10.481131341546858,0.0337,0.01265
11.51395399326447,0.02915,0.0111
12.648552168552957,0.0248,0.0094
13.894954943731374,0.0209,0.008
15.264179671752334,0.01755,0.0072
16.768329368110074,0.01505,0.00605
18.420699693267153,0.0132,0.0052
20.235896477251565,0.01135,0.0044
22.229964825261945,0.00965,0.00355
24.42053094548651,0.0083,0.00315
26.826957952797244,0.0071,0.0028
29.470517025518095,0.006,0.00265
32.374575428176435,0.00555,0.0024
35.564803062231285,0.00495,0.0023
39.06939937054615,0.00415,0.002
42.91934260128776,0.0035,0.0016
47.14866363457392,0.00315,0.0013
51.7947467923121,0.0029,0.00125
56.89866029018296,0.0025,0.0012
62.5055192527397,0.00225,0.0011
68.66488450042998,0.00195,0.0009
75.43120063354614,0.0018,0.00075
82.86427728546842,0.00165,0.00065
91.02981779915218,0.00135,0.00055
100.0,0.0011,0.0005
