unfolding_method,window_size,silhouette,r1_prop,r2_prop,r3_prop,n_samples
polynomial,10,0.32573738992677076,2.12021202120212,82.7982798279828,15.081508150815083,9999
polynomial,20,0.3274968344233744,2.19021902190219,82.73827382738274,15.071507150715071,9999
polynomial,50,0.35194406423809665,2.16021602160216,15.061506150615061,82.77827782778277,9999
polynomial,100,0.36548083415667937,84.08840884088409,0.6200620062006201,15.291529152915292,9999
spline,10,0.25280265304336397,25.432543254325434,59.2959295929593,15.271527152715272,9999
spline,20,0.25378115312620697,59.325932593259324,15.271527152715272,25.402540254025403,9999
spline,50,0.36527296411544385,84.4984498449845,0.14001400140014,15.361536153615363,9999
spline,100,0.3949679298041006,84.42844284428442,15.361536153615363,0.21002100210021002,9999
local_mean,10,0.23068159981381933,27.322732273227324,72.51725172517251,0.16001600160016002,9999
local_mean,20,0.23217788720327376,27.322732273227324,72.51725172517251,0.16001600160016002,9999
local_mean,50,0.3828389566213599,84.48844884488449,15.361536153615363,0.15001500150015,9999
local_mean,100,0.4143085952592156,84.45844584458446,0.18001800180018002,15.361536153615363,9999
